"Step","sgd - deltas.deltas.stage_3.4.conv_a"
"74","{""_type"":""histogram"",""values"":[1,1,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,1,0,2,0,3,3,3,2,4,3,3,3,1,3,2,1,5,1,1,3,2,1,1,1,0,0,1,0,0,0,0,0,0,3,0,0,0,2,1,0,1],""bins"":[0.03596785292029381,0.04482618212932721,0.05368451133836061,0.06254284054739401,0.07140116975642741,0.08025949896546081,0.0891178281744942,0.0979761573835276,0.106834486592561,0.1156928158015944,0.1245511450106278,0.1334094742196612,0.1422678034286946,0.151126132637728,0.1599844618467614,0.1688427910557948,0.1777011202648282,0.1865594494738616,0.195417778682895,0.2042761078919284,0.2131344371009618,0.2219927663099952,0.2308510955190286,0.239709424728062,0.2485677539370954,0.2574260831461288,0.2662844123551622,0.2751427415641956,0.284001070773229,0.2928593999822624,0.3017177291912958,0.3105760584003292,0.3194343876093626,0.328292716818396,0.3371510460274294,0.3460093752364628,0.3548677044454962,0.3637260336545296,0.372584362863563,0.3814426920725964,0.3903010212816298,0.3991593504906632,0.4080176796996966,0.41687600890873,0.4257343381177634,0.4345926673267968,0.4434509965358302,0.4523093257448636,0.461167654953897,0.4700259841629304,0.4788843133719638,0.4877426425809972,0.4966009717900306,0.505459300999064,0.5143176302080974,0.5231759594171308,0.5320342886261642,0.5408926178351976,0.549750947044231,0.5586092762532644,0.5674676054622978,0.5763259346713312,0.5851842638803646,0.594042593089398,0.6029009222984314]}"
"75","{""values"":[1,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,2,1,0,0,3,2,0,4,0,4,3,2,1,4,1,2,1,4,1,0,8,1,1,4,1,1,1,1,0,1,1,1,0,1,0,0,0,0,0,0,0,2],""_type"":""histogram"",""bins"":[0.028006939217448235,0.03593254697625525,0.04385815473506227,0.05178376249386929,0.05970937025267631,0.06763497801148333,0.07556058577029034,0.08348619352909736,0.09141180128790438,0.0993374090467114,0.10726301680551842,0.11518862456432544,0.12311423232313246,0.13103984008193947,0.1389654478407465,0.1468910555995535,0.15481666335836053,0.16274227111716755,0.17066787887597457,0.17859348663478158,0.1865190943935886,0.19444470215239562,0.20237030991120264,0.21029591767000966,0.21822152542881668,0.2261471331876237,0.2340727409464307,0.24199834870523773,0.24992395646404475,0.25784956422285177,0.2657751719816588,0.2737007797404658,0.2816263874992728,0.28955199525807984,0.29747760301688686,0.3054032107756939,0.3133288185345009,0.3212544262933079,0.32918003405211493,0.33710564181092195,0.34503124956972897,0.352956857328536,0.360882465087343,0.36880807284615,0.37673368060495704,0.38465928836376406,0.3925848961225711,0.4005105038813781,0.4084361116401851,0.41636171939899214,0.42428732715779915,0.4322129349166062,0.4401385426754132,0.4480641504342202,0.45598975819302723,0.46391536595183425,0.47184097371064126,0.4797665814694483,0.4876921892282553,0.4956177969870623,0.5035434047458693,0.5114690125046764,0.5193946202634834,0.5273202280222904,0.5352458357810974]}"
"76","{""_type"":""histogram"",""values"":[1,0,0,1,0,1,0,0,0,0,0,0,0,0,1,1,1,1,1,0,2,1,2,3,1,1,5,1,5,2,7,6,4,2,3,0,1,0,1,2,1,0,0,0,0,2,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1],""bins"":[0.02432228997349739,0.03306436788989231,0.04180644580628723,0.05054852372268215,0.05929060163907707,0.06803267955547199,0.0767747574718669,0.08551683538826182,0.09425891330465674,0.10300099122105166,0.11174306913744658,0.1204851470538415,0.12922722497023642,0.13796930288663134,0.14671138080302626,0.15545345871942118,0.1641955366358161,0.17293761455221102,0.18167969246860594,0.19042177038500085,0.19916384830139577,0.2079059262177907,0.2166480041341856,0.22539008205058053,0.23413215996697545,0.24287423788337037,0.2516163157997653,0.2603583937161602,0.2691004716325551,0.27784254954895005,0.28658462746534497,0.2953267053817399,0.3040687832981348,0.3128108612145297,0.32155293913092464,0.33029501704731956,0.3390370949637145,0.3477791728801094,0.3565212507965043,0.36526332871289924,0.37400540662929416,0.3827474845456891,0.391489562462084,0.4002316403784789,0.40897371829487383,0.41771579621126875,0.42645787412766367,0.4351999520440586,0.4439420299604535,0.45268410787684843,0.46142618579324335,0.47016826370963827,0.4789103416260332,0.4876524195424281,0.496394497458823,0.5051365753752179,0.5138786532916129,0.5226207312080078,0.5313628091244027,0.5401048870407976,0.5488469649571925,0.5575890428735875,0.5663311207899824,0.5750731987063773,0.5838152766227722]}"
"77","{""_type"":""histogram"",""values"":[1,0,0,0,0,1,0,1,0,0,1,0,0,0,1,0,0,0,0,2,0,1,0,0,0,3,2,2,2,2,3,1,2,1,3,4,0,1,1,1,1,2,6,3,1,3,2,0,1,2,1,0,1,1,0,1,0,0,1,0,1,0,0,1],""bins"":[0.029252905398607254,0.03621711366577074,0.043181321932934225,0.05014553020009771,0.057109738467261195,0.06407394673442468,0.07103815500158817,0.07800236326875165,0.08496657153591514,0.09193077980307862,0.0988949880702421,0.10585919633740559,0.11282340460456908,0.11978761287173256,0.12675182113889605,0.13371602940605953,0.14068023767322302,0.1476444459403865,0.15460865420755,0.16157286247471347,0.16853707074187696,0.17550127900904045,0.18246548727620393,0.18942969554336742,0.1963939038105309,0.2033581120776944,0.21032232034485787,0.21728652861202136,0.22425073687918484,0.23121494514634833,0.2381791534135118,0.2451433616806753,0.2521075699478388,0.25907177821500227,0.26603598648216575,0.27300019474932924,0.2799644030164927,0.2869286112836562,0.2938928195508197,0.3008570278179832,0.30782123608514667,0.31478544435231015,0.32174965261947364,0.3287138608866371,0.3356780691538006,0.3426422774209641,0.3496064856881276,0.35657069395529106,0.36353490222245455,0.37049911048961803,0.3774633187567815,0.384427527023945,0.3913917352911085,0.398355943558272,0.40532015182543546,0.41228436009259894,0.41924856835976243,0.4262127766269259,0.4331769848940894,0.4401411931612529,0.44710540142841637,0.45406960969557986,0.46103381796274334,0.4679980262299068,0.4749622344970703]}"
"78","{""values"":[1,0,0,0,1,0,0,2,0,1,0,0,0,0,0,0,0,1,0,1,1,0,2,1,1,2,3,2,2,2,1,4,4,1,0,0,5,1,2,1,1,3,0,4,2,3,2,2,0,0,0,0,0,0,0,1,0,2,0,1,0,0,0,1],""_type"":""histogram"",""bins"":[0.03027893230319023,0.03908490651519969,0.04789088072720915,0.05669685493921861,0.06550282915122807,0.07430880336323753,0.08311477757524699,0.09192075178725645,0.10072672599926591,0.10953270021127537,0.11833867442328483,0.1271446486352943,0.13595062284730375,0.1447565970593132,0.15356257127132267,0.16236854548333213,0.1711745196953416,0.17998049390735105,0.1887864681193605,0.19759244233136997,0.20639841654337943,0.21520439075538889,0.22401036496739835,0.2328163391794078,0.24162231339141726,0.2504282876034267,0.2592342618154362,0.26804023602744564,0.2768462102394551,0.28565218445146456,0.294458158663474,0.3032641328754835,0.31207010708749294,0.3208760812995024,0.32968205551151186,0.3384880297235213,0.3472940039355308,0.35609997814754024,0.3649059523595497,0.37371192657155916,0.3825179007835686,0.3913238749955781,0.40012984920758754,0.408935823419597,0.41774179763160646,0.4265477718436159,0.4353537460556254,0.44415972026763484,0.4529656944796443,0.46177166869165376,0.4705776429036632,0.4793836171156727,0.48818959132768214,0.4969955655396916,0.5058015397517011,0.5146075139637105,0.52341348817572,0.5322194623877294,0.5410254365997389,0.5498314108117484,0.5586373850237578,0.5674433592357673,0.5762493334477767,0.5850553076597862,0.5938612818717957]}"
"79","{""_type"":""histogram"",""values"":[1,0,0,0,0,1,0,0,1,0,0,2,0,0,0,0,0,0,0,0,1,1,1,1,3,0,1,1,1,2,3,3,2,2,3,2,1,0,4,4,4,2,0,1,1,2,2,1,1,1,1,0,0,0,1,0,0,3,1,0,1,0,0,1],""bins"":[0.024690017104148865,0.033177511068060994,0.041665005031973124,0.05015249899588525,0.05863999295979738,0.06712748692370951,0.07561498088762164,0.08410247485153377,0.0925899688154459,0.10107746277935803,0.10956495674327016,0.11805245070718229,0.12653994467109442,0.13502743863500655,0.14351493259891868,0.1520024265628308,0.16048992052674294,0.16897741449065506,0.1774649084545672,0.18595240241847932,0.19443989638239145,0.20292739034630358,0.2114148843102157,0.21990237827412784,0.22838987223803997,0.2368773662019521,0.24536486016586423,0.25385235412977636,0.2623398480936885,0.2708273420576006,0.27931483602151275,0.2878023299854249,0.296289823949337,0.30477731791324914,0.31326481187716126,0.3217523058410734,0.3302397998049855,0.33872729376889765,0.3472147877328098,0.3557022816967219,0.36418977566063404,0.37267726962454617,0.3811647635884583,0.38965225755237043,0.39813975151628256,0.4066272454801947,0.4151147394441068,0.42360223340801895,0.4320897273719311,0.4405772213358432,0.44906471529975533,0.45755220926366746,0.4660397032275796,0.4745271971914917,0.48301469115540385,0.491502185119316,0.4999896790832281,0.5084771730471402,0.5169646670110524,0.5254521609749645,0.5339396549388766,0.5424271489027888,0.5509146428667009,0.559402136830613,0.5678896307945251]}"
"80","{""values"":[2,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,3,0,0,2,1,2,0,1,2,3,3,2,2,1,1,3,4,1,2,4,1,3,1,0,0,3,1,2,2,2,1,2,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1],""_type"":""histogram"",""bins"":[0.03529186174273491,0.043495875608641654,0.0516998894745484,0.059903903340455145,0.06810791720636189,0.07631193107226864,0.08451594493817538,0.09271995880408213,0.10092397266998887,0.10912798653589562,0.11733200040180236,0.1255360142677091,0.13374002813361585,0.1419440419995226,0.15014805586542934,0.1583520697313361,0.16655608359724283,0.17476009746314958,0.18296411132905632,0.19116812519496307,0.1993721390608698,0.20757615292677656,0.2157801667926833,0.22398418065859005,0.2321881945244968,0.24039220839040354,0.24859622225631028,0.25680023612221703,0.2650042499881238,0.2732082638540305,0.28141227771993726,0.289616291585844,0.29782030545175076,0.3060243193176575,0.31422833318356425,0.322432347049471,0.33063636091537774,0.3388403747812845,0.3470443886471912,0.35524840251309797,0.3634524163790047,0.37165643024491146,0.3798604441108182,0.38806445797672495,0.3962684718426317,0.40447248570853844,0.4126764995744452,0.42088051344035193,0.4290845273062587,0.4372885411721654,0.44549255503807217,0.4536965689039789,0.46190058276988566,0.4701045966357924,0.47830861050169915,0.4865126243676059,0.49471663823351264,0.5029206520994194,0.5111246659653261,0.5193286798312329,0.5275326936971396,0.5357367075630464,0.5439407214289531,0.5521447352948599,0.5603487491607666]}"
"81","{""values"":[1,0,0,1,0,0,2,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,1,0,2,3,2,1,4,6,0,2,2,3,2,4,3,3,1,1,1,1,2,4,1,0,1,0,0,1,0,1,1,1,0,0,0,0,2,0,0,0,0,1],""_type"":""histogram"",""bins"":[0.029341399669647217,0.03740518260747194,0.04546896554529667,0.053532748483121395,0.06159653142094612,0.06966031435877085,0.07772409729659557,0.0857878802344203,0.09385166317224503,0.10191544611006975,0.10997922904789448,0.1180430119857192,0.12610679492354393,0.13417057786136866,0.14223436079919338,0.1502981437370181,0.15836192667484283,0.16642570961266756,0.1744894925504923,0.182553275488317,0.19061705842614174,0.19868084136396646,0.2067446243017912,0.21480840723961592,0.22287219017744064,0.23093597311526537,0.2389997560530901,0.24706353899091482,0.25512732192873955,0.2631911048665643,0.271254887804389,0.2793186707422137,0.28738245368003845,0.2954462366178632,0.3035100195556879,0.31157380249351263,0.31963758543133736,0.3277013683691621,0.3357651513069868,0.34382893424481153,0.35189271718263626,0.359956500120461,0.3680202830582857,0.37608406599611044,0.38414784893393517,0.3922116318717599,0.4002754148095846,0.40833919774740934,0.41640298068523407,0.4244667636230588,0.4325305465608835,0.44059432949870825,0.448658112436533,0.4567218953743577,0.4647856783121824,0.47284946125000715,0.4809132441878319,0.4889770271256566,0.49704081006348133,0.5051045930013061,0.5131683759391308,0.5212321588769555,0.5292959418147802,0.537359724752605,0.5454235076904297]}"
"82","{""_type"":""histogram"",""values"":[1,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,2,1,0,0,0,1,0,0,0,0,0,1,0,2,1,2,5,4,3,3,1,1,2,5,2,2,2,0,1,1,3,5,1,1,0,1,1,0,1,1,1,0,2,0,0,0,0,1],""bins"":[0.029726270586252213,0.0364556442364119,0.043185017886571586,0.04991439153673127,0.05664376518689096,0.06337313883705065,0.07010251248721033,0.07683188613737002,0.08356125978752971,0.0902906334376894,0.09702000708784908,0.10374938073800877,0.11047875438816845,0.11720812803832814,0.12393750168848783,0.13066687533864751,0.1373962489888072,0.1441256226389669,0.15085499628912657,0.15758436993928626,0.16431374358944595,0.17104311723960564,0.17777249088976532,0.184501864539925,0.1912312381900847,0.19796061184024438,0.20468998549040407,0.21141935914056376,0.21814873279072344,0.22487810644088313,0.23160748009104282,0.2383368537412025,0.2450662273913622,0.2517956010415219,0.25852497469168156,0.26525434834184125,0.27198372199200094,0.2787130956421606,0.2854424692923203,0.29217184294248,0.2989012165926397,0.30563059024279937,0.31235996389295906,0.31908933754311875,0.32581871119327843,0.3325480848434381,0.3392774584935978,0.3460068321437575,0.3527362057939172,0.35946557944407687,0.36619495309423655,0.37292432674439624,0.3796537003945559,0.3863830740447156,0.3931124476948753,0.399841821345035,0.4065711949951947,0.41330056864535436,0.42002994229551405,0.42675931594567373,0.4334886895958334,0.4402180632459931,0.4469474368961528,0.4536768105463125,0.46040618419647217]}"
"83","{""values"":[1,0,0,0,0,0,1,0,0,0,0,1,1,1,1,0,0,3,0,1,1,3,2,3,1,1,3,2,1,5,2,3,0,2,1,2,2,0,2,1,1,1,2,1,1,2,1,0,2,0,0,0,0,1,1,1,1,0,1,0,0,0,0,1],""_type"":""histogram"",""bins"":[0.03835734352469444,0.046600292960647494,0.054843242396600544,0.0630861918325536,0.07132914126850665,0.0795720907044597,0.08781504014041275,0.0960579895763658,0.10430093901231885,0.1125438884482719,0.12078683788422495,0.129029787320178,0.13727273675613105,0.1455156861920841,0.15375863562803715,0.1620015850639902,0.17024453449994326,0.1784874839358963,0.18673043337184936,0.1949733828078024,0.20321633224375546,0.2114592816797085,0.21970223111566156,0.2279451805516146,0.23618812998756766,0.24443107942352071,0.25267402885947376,0.2609169782954268,0.26915992773137987,0.2774028771673329,0.28564582660328597,0.293888776039239,0.30213172547519207,0.3103746749111451,0.31861762434709817,0.3268605737830512,0.3351035232190043,0.3433464726549573,0.3515894220909104,0.3598323715268634,0.3680753209628165,0.3763182703987695,0.3845612198347226,0.39280416927067563,0.4010471187066287,0.40929006814258173,0.4175330175785348,0.42577596701448783,0.4340189164504409,0.44226186588639393,0.450504815322347,0.45874776475830004,0.4669907141942531,0.47523366363020614,0.4834766130661592,0.49171956250211224,0.4999625119380653,0.5082054613740183,0.5164484108099714,0.5246913602459244,0.5329343096818775,0.5411772591178305,0.5494202085537836,0.5576631579897366,0.5659061074256897]}"
"84","{""values"":[1,0,0,0,1,1,0,0,1,0,0,0,0,1,0,0,0,1,1,0,1,0,1,2,1,3,1,2,5,2,2,4,1,2,3,1,0,3,2,3,3,1,1,1,2,0,2,1,1,0,1,2,1,0,0,0,0,0,0,0,0,0,0,2],""_type"":""histogram"",""bins"":[0.03547206148505211,0.0441320450627245,0.05279202864039689,0.061452012218069285,0.07011199579574168,0.07877197937341407,0.08743196295108646,0.09609194652875885,0.10475193010643125,0.11341191368410364,0.12207189726177603,0.13073188083944842,0.13939186441712081,0.1480518479947932,0.1567118315724656,0.165371815150138,0.17403179872781038,0.18269178230548277,0.19135176588315517,0.20001174946082756,0.20867173303849995,0.21733171661617234,0.22599170019384474,0.23465168377151713,0.24331166734918952,0.2519716509268619,0.2606316345045343,0.2692916180822067,0.2779516016598791,0.2866115852375515,0.2952715688152239,0.30393155239289626,0.31259153597056866,0.32125151954824105,0.32991150312591344,0.33857148670358583,0.3472314702812582,0.3558914538589306,0.364551437436603,0.3732114210142754,0.3818714045919478,0.3905313881696202,0.3991913717472926,0.40785135532496497,0.41651133890263736,0.42517132248030975,0.43383130605798215,0.44249128963565454,0.45115127321332693,0.4598112567909993,0.4684712403686717,0.4771312239463441,0.4857912075240165,0.4944511911016889,0.5031111746793613,0.5117711582570337,0.5204311418347061,0.5290911254123785,0.5377511089900509,0.5464110925677232,0.5550710761453956,0.563731059723068,0.5723910433007404,0.5810510268784128,0.5897110104560852]}"
"85","{""_type"":""histogram"",""values"":[1,0,0,0,0,1,0,2,0,0,1,0,0,0,0,1,0,0,0,1,2,1,3,0,2,1,3,4,6,6,2,2,4,1,2,2,1,3,1,1,2,0,0,0,1,0,0,2,0,0,0,2,0,0,0,0,0,0,0,1,0,0,1,1],""bins"":[0.037766046822071075,0.04650011088233441,0.05523417494259775,0.06396823900286108,0.07270230306312442,0.08143636712338775,0.09017043118365109,0.09890449524391443,0.10763855930417776,0.1163726233644411,0.12510668742470443,0.13384075148496777,0.1425748155452311,0.15130887960549444,0.16004294366575778,0.1687770077260211,0.17751107178628445,0.18624513584654778,0.19497919990681112,0.20371326396707445,0.2124473280273378,0.22118139208760113,0.22991545614786446,0.2386495202081278,0.24738358426839113,0.25611764832865447,0.2648517123889178,0.27358577644918114,0.2823198405094445,0.2910539045697078,0.29978796862997115,0.3085220326902345,0.3172560967504978,0.32599016081076115,0.3347242248710245,0.3434582889312878,0.35219235299155116,0.3609264170518145,0.36966048111207783,0.37839454517234117,0.3871286092326045,0.39586267329286784,0.4045967373531312,0.4133308014133945,0.42206486547365785,0.4307989295339212,0.4395329935941845,0.44826705765444785,0.4570011217147112,0.4657351857749745,0.47446924983523786,0.4832033138955012,0.49193737795576453,0.5006714420160279,0.5094055060762912,0.5181395701365545,0.5268736341968179,0.5356076982570812,0.5443417623173445,0.5530758263776079,0.5618098904378712,0.5705439544981346,0.5792780185583979,0.5880120826186612,0.5967461466789246]}"
"86","{""values"":[1,0,0,0,0,0,1,1,0,0,0,1,0,1,0,0,0,1,0,0,3,0,2,3,1,3,4,3,3,4,6,2,3,2,1,2,2,3,0,0,0,0,3,2,2,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,1,0,1],""_type"":""histogram"",""bins"":[0.031563468277454376,0.04077233362477273,0.04998119897209108,0.05919006431940943,0.06839892966672778,0.07760779501404613,0.08681666036136448,0.09602552570868284,0.10523439105600119,0.11444325640331954,0.12365212175063789,0.13286098709795624,0.1420698524452746,0.15127871779259294,0.1604875831399113,0.16969644848722965,0.178905313834548,0.18811417918186635,0.1973230445291847,0.20653190987650305,0.2157407752238214,0.22494964057113975,0.2341585059184581,0.24336737126577646,0.2525762366130948,0.26178510196041316,0.2709939673077315,0.28020283265504986,0.2894116980023682,0.29862056334968656,0.3078294286970049,0.31703829404432327,0.3262471593916416,0.33545602473895997,0.3446648900862783,0.35387375543359667,0.363082620780915,0.3722914861282334,0.3815003514755517,0.3907092168228701,0.3999180821701884,0.4091269475175068,0.41833581286482513,0.4275446782121435,0.43675354355946183,0.4459624089067802,0.45517127425409853,0.4643801396014169,0.47358900494873524,0.4827978702960536,0.49200673564337194,0.5012156009906903,0.5104244663380086,0.519633331685327,0.5288421970326453,0.5380510623799637,0.547259927727282,0.5564687930746004,0.5656776584219187,0.5748865237692371,0.5840953891165555,0.5933042544638738,0.6025131198111922,0.6117219851585105,0.6209308505058289]}"
"87","{""values"":[1,0,0,0,0,2,0,0,0,0,0,0,0,0,1,0,2,2,0,2,1,0,1,5,0,5,2,7,2,4,1,0,3,6,4,1,2,2,3,1,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1],""_type"":""histogram"",""bins"":[0.026197275146842003,0.03506408040993847,0.043930885673034936,0.0527976909361314,0.06166449619922787,0.07053130146232434,0.0793981067254208,0.08826491198851727,0.09713171725161374,0.1059985225147102,0.11486532777780667,0.12373213304090314,0.1325989383039996,0.14146574356709607,0.15033254883019254,0.159199354093289,0.16806615935638547,0.17693296461948194,0.1857997698825784,0.19466657514567487,0.20353338040877134,0.2124001856718678,0.22126699093496427,0.23013379619806074,0.2390006014611572,0.24786740672425367,0.25673421198735014,0.2656010172504466,0.27446782251354307,0.28333462777663954,0.292201433039736,0.30106823830283247,0.30993504356592894,0.3188018488290254,0.32766865409212187,0.33653545935521834,0.3454022646183148,0.35426906988141127,0.36313587514450774,0.3720026804076042,0.38086948567070067,0.38973629093379714,0.3986030961968936,0.40746990145999007,0.41633670672308654,0.425203511986183,0.43407031724927947,0.44293712251237594,0.4518039277754724,0.46067073303856887,0.46953753830166534,0.4784043435647618,0.48727114882785827,0.49613795409095474,0.5050047593540512,0.5138715646171477,0.5227383698802441,0.5316051751433406,0.5404719804064371,0.5493387856695335,0.55820559093263,0.5670723961957265,0.5759392014588229,0.5848060067219194,0.5936728119850159]}"
"88","{""_type"":""histogram"",""values"":[1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,2,0,0,1,2,0,2,1,1,0,1,4,4,5,2,0,6,3,2,2,3,6,3,2,2,0,1,2,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1],""bins"":[0.03057219833135605,0.038885108777321875,0.0471980192232877,0.05551092966925353,0.06382384011521935,0.07213675056118518,0.08044966100715101,0.08876257145311683,0.09707548189908266,0.10538839234504849,0.11370130279101431,0.12201421323698014,0.13032712368294597,0.1386400341289118,0.14695294457487762,0.15526585502084345,0.16357876546680927,0.1718916759127751,0.18020458635874093,0.18851749680470675,0.19683040725067258,0.2051433176966384,0.21345622814260423,0.22176913858857006,0.23008204903453588,0.2383949594805017,0.24670786992646754,0.25502078037243336,0.2633336908183992,0.271646601264365,0.27995951171033084,0.28827242215629667,0.2965853326022625,0.3048982430482283,0.31321115349419415,0.32152406394016,0.3298369743861258,0.33814988483209163,0.34646279527805746,0.3547757057240233,0.3630886161699891,0.37140152661595494,0.37971443706192076,0.3880273475078866,0.3963402579538524,0.40465316839981824,0.41296607884578407,0.4212789892917499,0.4295918997377157,0.43790481018368155,0.4462177206296474,0.4545306310756132,0.462843541521579,0.47115645196754485,0.4794693624135107,0.4877822728594765,0.49609518330544233,0.5044080937514082,0.512721004197374,0.5210339146433398,0.5293468250893056,0.5376597355352715,0.5459726459812373,0.5542855564272031,0.562598466873169]}"
"89","{""_type"":""histogram"",""values"":[1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,1,1,1,1,1,0,0,1,2,0,0,1,0,4,1,3,0,4,0,4,2,3,1,4,4,2,2,2,2,2,2,1,2,0,0,1,0,2,0,0,1,0,1,0,0,0,1],""bins"":[0.03561152145266533,0.0427148065646179,0.049818091676570475,0.05692137678852305,0.06402466190047562,0.0711279470124282,0.07823123212438077,0.08533451723633334,0.09243780234828591,0.09954108746023849,0.10664437257219106,0.11374765768414363,0.1208509427960962,0.12795422790804878,0.13505751302000135,0.14216079813195392,0.1492640832439065,0.15636736835585907,0.16347065346781164,0.17057393857976422,0.1776772236917168,0.18478050880366936,0.19188379391562194,0.1989870790275745,0.20609036413952708,0.21319364925147966,0.22029693436343223,0.2274002194753848,0.23450350458733737,0.24160678969928995,0.24871007481124252,0.2558133599231951,0.26291664503514767,0.27001993014710024,0.2771232152590528,0.2842265003710054,0.29132978548295796,0.29843307059491053,0.3055363557068631,0.3126396408188157,0.31974292593076825,0.3268462110427208,0.3339494961546734,0.34105278126662597,0.34815606637857854,0.3552593514905311,0.3623626366024837,0.36946592171443626,0.37656920682638884,0.3836724919383414,0.390775777050294,0.39787906216224656,0.40498234727419913,0.4120856323861517,0.4191889174981043,0.42629220261005685,0.4333954877220094,0.440498772833962,0.44760205794591457,0.45470534305786714,0.4618086281698197,0.4689119132817723,0.47601519839372486,0.48311848350567743,0.49022176861763]}"
"90","{""values"":[1,0,2,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,1,2,1,3,4,4,4,2,1,2,3,4,3,0,1,1,1,3,3,0,0,1,2,0,2,1,2,0,1,0,0,0,0,1,1,1,0,0,1],""_type"":""histogram"",""bins"":[0.023065289482474327,0.03096393556916155,0.03886258165584877,0.04676122774253599,0.054659873829223216,0.06255851991591044,0.07045716600259766,0.07835581208928488,0.0862544581759721,0.09415310426265933,0.10205175034934655,0.10995039643603377,0.11784904252272099,0.12574768860940821,0.13364633469609544,0.14154498078278266,0.14944362686946988,0.1573422729561571,0.16524091904284433,0.17313956512953155,0.18103821121621877,0.188936857302906,0.1968355033895932,0.20473414947628044,0.21263279556296766,0.22053144164965488,0.2284300877363421,0.23632873382302932,0.24422737990971655,0.25212602599640377,0.260024672083091,0.2679233181697782,0.27582196425646544,0.28372061034315266,0.2916192564298399,0.2995179025165271,0.3074165486032143,0.31531519468990155,0.32321384077658877,0.331112486863276,0.3390111329499632,0.34690977903665043,0.35480842512333766,0.3627070712100249,0.3706057172967121,0.3785043633833993,0.38640300947008654,0.39430165555677377,0.402200301643461,0.4100989477301482,0.41799759381683543,0.42589623990352266,0.4337948859902099,0.4416935320768971,0.4495921781635843,0.45749082425027154,0.46538947033695877,0.473288116423646,0.4811867625103332,0.48908540859702043,0.49698405468370765,0.5048827007703949,0.5127813468570821,0.5206799929437693,0.5285786390304565]}"
"91","{""values"":[1,1,1,0,1,0,0,0,1,1,0,0,0,0,1,0,1,3,4,5,5,6,4,3,2,7,2,4,0,0,0,1,1,0,1,0,2,1,0,1,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1],""_type"":""histogram"",""bins"":[0.0272857416421175,0.03906382268178277,0.050841903721448034,0.0626199847611133,0.07439806580077857,0.08617614684044383,0.0979542278801091,0.10973230891977437,0.12151038995943964,0.1332884709991049,0.14506655203877017,0.15684463307843544,0.1686227141181007,0.18040079515776597,0.19217887619743124,0.2039569572370965,0.21573503827676177,0.22751311931642704,0.2392912003560923,0.25106928139575757,0.26284736243542284,0.2746254434750881,0.28640352451475337,0.29818160555441864,0.3099596865940839,0.32173776763374917,0.33351584867341444,0.3452939297130797,0.357072010752745,0.36885009179241024,0.3806281728320755,0.3924062538717408,0.40418433491140604,0.4159624159510713,0.4277404969907366,0.43951857803040184,0.4512966590700671,0.4630747401097324,0.47485282114939764,0.4866309021890629,0.4984089832287282,0.5101870642683934,0.5219651453080587,0.533743226347724,0.5455213073873892,0.5572993884270545,0.5690774694667198,0.580855550506385,0.5926336315460503,0.6044117125857156,0.6161897936253808,0.6279678746650461,0.6397459557047114,0.6515240367443766,0.6633021177840419,0.6750801988237072,0.6868582798633724,0.6986363609030377,0.710414441942703,0.7221925229823682,0.7339706040220335,0.7457486850616988,0.757526766101364,0.7693048471410293,0.7810829281806946]}"
